"Tax Yr","Wk Band 1","Wk Band 2","Wk Band 3","Wk Band 4","Wk Band 5","Mnth Band 1","Mnth Band 2","Mnth Band 3","Mnth Band 4","Mnth Band 5","Ann Band 1","Ann Band 2","Ann Band 3","Ann Band 4","Ann Band 5"
"1975",£11.00,,,,£69.00,£47.67,,,,£299.00,£572.00,,,,£3588.00
"1976",£13.00,,,,£95.00,£56.33,,,,£411.67,£675.96,,,,£4940.04
"1977",£15.00,,,,£105.00,£65.00,,,,£455.00,£780.00,,,,£5460.00
"1978",£17.50,,,,£120.00,£75.83,,,,£520.00,£909.96,,,,£6240.00
"1979",£19.50,,,,£135.00,£84.50,,,,£585.00,£1014.00,,,,£7020.00
"1980",£23.00,,,,£165.00,£99.67,,,,£715.00,£1196.04,,,,£8580.00
"1981",£27.00,,,,£200.00,£117.00,,,,£866.67,£1404.00,,,,£10400.04
"1982",£29.50,,,,£220.00,£127.83,,,,£953.33,£1533.96,,,,£11439.96
"1983",£32.50,,,,£235.00,£140.83,,,,£1018.33,£1689.96,,,,£12219.96
"1984",£34.00,,,,£250.00,£147.33,,,,£1083.33,£1767.96,,,,£12999.96
"1985",£35.50,£55.00,£90.00,£130.00,£265.00,£153.83,£238.33,£390.00,£563.33,£1148.33,£1845.96,£2859.96,£4680.00,£6759.96,£13779.96
"1986",£38.00,£60.00,£95.00,£140.00,£285.00,£164.67,£260.00,£411.67,£606.67,£1235.00,£1976.04,£3120.00,£4940.04,£7280.04,£14820.00
"1987",£39.00,£65.00,£100.00,£150.00,£295.00,£169.00,£282.00,£434.00,£650.00,£1279.00,£2028.00,£3380.00,£5200.00,£7800.00,£15340.00
"1988",£41.00,£70.00,£105.00,£155.00,£305.00,£178.00,£304.00,£455.00,£672.00,£1322.00,£2132.00,£3640.00,£5460.00,£8060.00,£15860.00
"1989",£43.00,£75.00,£115.00,£165.00,£325.00,£187.00,£325.00,£499.00,£715.00,£1409.00,£2236.00,£3900.00,£5980.00,£8580.00,£16900.00
