"Tax Yr",Cat,"Start Week","Start Month","Up to LEL1 (employee)","Up to LEL2 (employee)","Up to LEL3 (employee)","Up to LEL4 (employee)","Employee Rte 1","Employee Rte 2","Employee Rte 3","Employee Rte 4","Up to LEL1 (employer)","Up to LEL2 (employer)","Up to LEL3 (employer)","Up to LEL4 (employer)","Employer Rte 1","Employer Rte 2","Employer Rte 3","Employer Rte 4","Above UEL (employer)","ER NIC Rebate","EE NIC Rebate","NI Surcharge"
1975,A,1,1,0.055,,,,0.055,,,,0.085,,,,,,,0.085,,,,
1975,"A HMF",1,1,0.047,,,,0.047,,,,0.0715,,,,,,,0.0715,,,,
1975,B,1,1,0.02,,,,0.02,,,,0.085,,,,,,,0.085,,,,
1975,"B HMF",1,1,0.018,,,,0.018,,,,0.0715,,,,,,,0.0715,,,,
1975,C,1,1,0,,,,0,,,,0.085,,,,,,,0.085,,,,
1976,A,1,1,0.0575,,,,0.0575,,,,0.0875,,,,,,,0.0875,,,,
1976,"A HMF",1,1,0.0495,,,,0.0495,,,,0.074,,,,,,,0.074,,,,
1976,B,1,1,0.02,,,,0.02,,,,0.0875,,,,,,,0.0875,,,,
1976,"B HMF",1,1,0.018,,,,0.018,,,,0.074,,,,,,,0.074,,,,
1976,C,1,1,0,,,,0,,,,0.0875,,,,,,,0.0875,,,,
1977,A,1,1,0.0575,,,,0.0575,,,,0.1075,,,,,,,0.1075,,,,0.02
1977,"A HMF",1,1,0.0495,,,,0.0495,,,,0.094,,,,,,,0.094,,,,
1977,B,1,1,0.02,,,,0.02,,,,0.1075,,,,,,,0.1075,,,,0.02
1977,"B HMF",1,1,0.018,,,,0.018,,,,0.094,,,,,,,0.094,,,,
1977,C,1,1,0,,,,0,,,,0.1075,,,,,,,0.1075,,,,0.02
1978,A,1,1,0.065,,,,0.065,,,,0.12,,,,,,,0.12,,,,0.02
1978,A,27,7,0.065,,,,0.065,,,,0.135,,,,,,,0.135,,,,0.035
1978,"A HMF",1,1,0.058,,,,0.058,,,,0.107,,,,,,,0.107,,,,
1978,"A HMF",27,7,0.058,,,,0.058,,,,0.122,,,,,,,0.122,,,,
