"Tax Yr","Cat","Start Week","Start Month","Up to LEL1 (employee)","Up to LEL2 (employee)","Up to LEL3 (employee)","Up to LEL4 (employee)","Employee Rte 1","Employee Rte 2","Employee Rte 3","Employee Rte 4","Up to LEL1 (employer)","Up to LEL2 (employer)","Up to LEL3 (employer)","Up to LEL4 (employer)","Employer Rte 1","Employer Rte 2","Employer Rte 3","Employer Rte 4","Above UEL (employer)","ER NIC Rebate","EE NIC Rebate","NI Surcharge"
"1975","A",1,1,0.05,,,,0.05,,,,0.08,,,,,,,0.08,,,,
"1975","A HMF",1,1,0.04,,,,0.04,,,,0.07,,,,,,,0.07,,,,
"1975","B",1,1,0.02,,,,0.02,,,,0.08,,,,,,,0.08,,,,
"1975","B HMF",1,1,0.01,,,,0.01,,,,0.07,,,,,,,0.07,,,,
"1975","C",1,1,0.00,,,,0.00,,,,0.08,,,,,,,0.08,,,,
"1976","A",1,1,0.05,,,,0.05,,,,0.08,,,,,,,0.08,,,,
"1976","A HMF",1,1,0.04,,,,0.04,,,,0.07,,,,,,,0.07,,,,
"1976","B",1,1,0.02,,,,0.02,,,,0.08,,,,,,,0.08,,,,
"1976","B HMF",1,1,0.01,,,,0.01,,,,0.07,,,,,,,0.07,,,,
"1976","C",1,1,0.00,,,,0.00,,,,0.08,,,,,,,0.08,,,,
"1977","A",1,1,0.05,,,,0.05,,,,0.10,,,,,,,0.10,,,,0.02
"1977","A HMF",1,1,0.04,,,,0.04,,,,0.09,,,,,,,0.09,,,,
"1977","B",1,1,0.02,,,,0.02,,,,0.10,,,,,,,0.10,,,,0.02
"1977","B HMF",1,1,0.01,,,,0.01,,,,0.09,,,,,,,0.09,,,,
"1977","C",1,1,0.00,,,,0.00,,,,0.10,,,,,,,0.10,,,,0.02
"1978","A",1,1,0.06,,,,0.06,,,,0.12,,,,,,,0.12,,,,0.02
"1978","A",27,7,0.06,,,,0.06,,,,0.13,,,,,,,0.13,,,,0.03
"1978","A HMF",1,1,0.05,,,,0.05,,,,0.10,,,,,,,0.10,,,,
"1978","A HMF",27,7,0.05,,,,0.05,,,,0.12,,,,,,,0.12,,,,
"1978","B",1,1,0.02,,,,0.02,,,,0.12,,,,,,,0.12,,,,0.02
"1978","B",27,7,0.02,,,,0.02,,,,0.13,,,,,,,0.13,,,,0.03
