"Tax Yr","Start Wk","Men Wk Rte","Women Wk Rte","Shre Fish Wk Rte","VDW Wk Rte","SEE Limit","Dte Lte For STB","Term Date","Fnl Dte For Pen","EF Qual Year","No of Wks","HRP Date"
1975,1,2.41,2.1,2.86,,675,,,1978/04/05,536,53,
1976,1,2.41,2.2,3.02,,775,,,1979/04/05,636,52,
1977,1,2.66,2.55,3.4,,875,,,1980/04/05,736,52,
1978,1,1.9,1.9,2.73,,950,,,1981/04/05,896,52,
1979,1,2.1,2.1,2.97,,1050,,,1982/04/05,1000,52,
1980,1,2.5,2.5,3.63,,1250,,,1983/04/05,1182,53,
1981,1,3.4,3.4,4.89,,1475,,,1984/04/05,1390,52,
1982,1,3.75,3.75,5.44,,1600,,,1985/04/05,1519.25,52,
1983,1,4.4,4.4,6.44,,1775,,,1990/04/05,1673.75,52,1985/04/06
1984,1,4.6,4.6,6.7,,1850,,,1991/04/05,1751,52,1986/04/06
1985,1,4.75,4.75,6.87,,1925,,,1992/04/05,1828.25,26,1987/04/06
1985,27,3.5,3.5,5.73,,1925,,,1992/04/05,1828.25,26,1987/04/06
1986,1,3.75,3.75,5.96,6.55,2075,1988/01/03,,1993/04/05,1957,53,1988/04/06
1987,1,3.85,3.85,5.89,6.55,2125,1989/01/01,,1994/04/05,1978,52,1989/04/06
1988,1,4.05,4.05,5.76,6.55,2250,1990/01/07,,1995/04/05,2082,52,1990/04/06
1989,1,4.25,4.25,5.16,4.3,2350,1991/01/06,1992/04/11,1996/04/05,2186,52,1991/04/06
1990,1,4.55,4.55,5.53,3.22,2600,1992/01/05,1993/04/10,1997/04/05,2342,52,1992/04/06
1991,1,5.15,5.15,6.2,3.43,2900,1993/01/03,1994/04/09,1998/04/05,2654,53,1993/04/06
1992,1,5.35,5.35,7,3.56,3030,1994/01/02,1995/04/08,1999/04/05,2758,52,1994/04/06
1993,1,5.55,5.55,7.75,3.7,3140,1995/01/01,1996/04/06,2000/04/05,2862,52,1995/04/06
1994,1,5.65,5.65,7.75,3.19,3200,1996/01/07,1997/04/05,2001/04/05,2914,52,1996/04/06
1995,1,5.75,5.75,7.3,2.9,3260,1997/01/05,1998/04/11,2002/04/05,2966,52,1997/04/06
1996,1,6.05,6.05,7.2,3.05,3430,1998/01/04,1999/04/10,2003/04/05,3122,52,1998/04/06
1997,1,6.15,6.15,6.8,3.1,3480,1999/01/03,2000/04/08,2004/04/05,3174,53,1999/04/06
1998,1,6.35,6.35,7,3.2,3590,2000/01/01,2001/04/07,2005/04/05,3278,52,2000/04/06
1999,1,6.55,6.55,7.2,3.3,3770,2001/01/07,2002/04/06,2006/04/05,3382,52,2001/04/06
2000,1,2,2,2.65,3.35,3825,2002/01/06,2003/04/05,2007/04/05,3434,52,2002/04/06
2001,1,2,2,2.65,3.6,3955,2003/01/05,2004/04/03,2008/04/05,3694,52,2003/04/06
2002,1,2,2,2.65,3.75,4025,2004/01/04,2005/04/02,2009/04/05,3850,52,2004/04/06
2003,1,2,2,2.65,3.85,4095,2005/01/02,2006/04/01,2010/04/05,3954,53,2005/04/06
2004,1,2.05,2.05,2.7,3.95,4215,2006/01/01,2007/04/07,2011/04/05,4058,52,2006/04/06
2005,1,2.1,2.1,2.75,4.1,4345,2007/01/07,2008/04/05,2012/04/05,4214,52,2007/04/06
2006,1,2.1,2.1,2.75,4.2,4465,2008/01/06,2009/04/04,2013/04/05,4318,52,2008/04/06
2007,1,2.2,2.2,2.85,4.35,4635,2009/01/04,2010/04/03,2014/04/05,4474,52,2009/04/06
2008,1,2.3,2.3,2.95,4.5,4825,2010/01/03,2011/04/02,2015/04/05,4630,53,2010/04/06
2009,1,2.4,2.4,3.05,4.75,5075,2011/01/02,2012/04/07,2016/04/05,4890,52,2011/04/06
2010,1,2.4,2.4,3.05,4.85,5075,2012/01/01,2013/04/06,2017/04/05,4994,52,2012/04/06
2011,1,2.5,2.5,3.15,5.1,5315,2013/01/06,2014/04/05,2018/04/05,5254,52,2013/04/06
2012,1,2.65,2.65,3.3,5.35,5595,2014/01/05,2015/04/11,2019/04/05,5514,52,2014/04/06
2013,1,2.7,2.7,3.35,5.45,5725,2015/01/05,2016/04/11,2020/04/05,5618,52,2015/04/06
2014,1,2.75,2.75,3.4,5.55,5885,2016/01/04,2017/04/10,2021/04/05,5722,53,2016/04/06
2015,1,2.8,2.8,3.45,5.6,5965,2017/01/01,2016/04/09,2022/04/05,5774,52,2017/04/06
2016,1,2.8,2.8,3.45,5.6,5965,2018/01/01,2017/04/09,2023/04/05,5774,52,2018/04/06
2017,1,2.85,2.85,3.5,5.65,6025,2019/01/01,2018/04/09,2024/04/05,5826,52,2019/04/06
2018,1,2.95,2.95,3.6,5.8,6032,2019/02/01,2019/04/09,2025/04/05,5982,52,2020/04/06
2019,1,3,3,3.65,5.9,6365,2021/02/01,2020/04/09,2026/04/05,6086,53,2021/04/06
2020,1,3.05,3.05,3.7,6,6475,2022/02/01,2021/04/09,2027/04/05,6240,52,2022/04/06
