"Tax Yr","Start Wk","Men Wk Rte","Women Wk Rte","Shre Fish Wk Rte","VDW Wk Rte","SEE Limit","Dte Lte For STB","Term Date","Fnl Dte For Pen","EF Qual Year","No of Wks","HRP Date"
"1975",1,£2.41,£2.10,£2.86,,£675.00,,,5/4/1978 00:00:00,£536.00,53,
"1976",1,£2.41,£2.20,£3.02,,£775.00,,,5/4/1979 00:00:00,£636.00,52,
"1977",1,£2.66,£2.55,£3.40,,£875.00,,,5/4/1980 00:00:00,£736.00,52,
"1978",1,£1.90,£1.90,£2.73,,£950.00,,,5/4/1981 00:00:00,£896.00,52,
"1979",1,£2.10,£2.10,£2.97,,£1050.00,,,5/4/1982 00:00:00,£1000.00,52,
"1980",1,£2.50,£2.50,£3.63,,£1250.00,,,5/4/1983 00:00:00,£1182.00,53,
"1981",1,£3.40,£3.40,£4.89,,£1475.00,,,5/4/1984 00:00:00,£1390.00,52,
"1982",1,£3.75,£3.75,£5.44,,£1600.00,,,5/4/1985 00:00:00,£1519.25,52,
"1983",1,£4.40,£4.40,£6.44,,£1775.00,,,5/4/1990 00:00:00,£1673.75,52,6/4/1985 00:00:00
"1984",1,£4.60,£4.60,£6.70,,£1850.00,,,5/4/1991 00:00:00,£1751.00,52,6/4/1986 00:00:00
"1985",1,£4.75,£4.75,£6.87,,£1925.00,,,5/4/1992 00:00:00,£1828.25,26,6/4/1987 00:00:00
"1985",27,£3.50,£3.50,£5.73,,£1925.00,,,5/4/1992 00:00:00,£1828.25,26,6/4/1987 00:00:00
"1986",1,£3.75,£3.75,£5.96,£6.55,£2075.00,3/1/1988 00:00:00,,5/4/1993 00:00:00,£1957.00,53,6/4/1988 00:00:00
"1987",1,£3.85,£3.85,£5.89,£6.55,£2125.00,1/1/1989 00:00:00,,5/4/1994 00:00:00,£1978.00,52,6/4/1989 00:00:00
"1988",1,£4.05,£4.05,£5.76,£6.55,£2250.00,7/1/1990 00:00:00,,5/4/1995 00:00:00,£2082.00,52,6/4/1990 00:00:00
"1989",1,£4.25,£4.25,£5.16,£4.30,£2350.00,6/1/1991 00:00:00,11/4/1992 00:00:00,5/4/1996 00:00:00,£2186.00,52,6/4/1991 00:00:00
"1990",1,£4.55,£4.55,£5.53,£3.22,£2600.00,5/1/1992 00:00:00,10/4/1993 00:00:00,5/4/1997 00:00:00,£2342.00,52,6/4/1992 00:00:00
"1991",1,£5.15,£5.15,£6.20,£3.43,£2900.00,3/1/1993 00:00:00,9/4/1994 00:00:00,5/4/1998 00:00:00,£2654.00,53,6/4/1993 00:00:00
"1992",1,£5.35,£5.35,£7.00,£3.56,£3030.00,2/1/1994 00:00:00,8/4/1995 00:00:00,5/4/1999 00:00:00,£2758.00,52,6/4/1994 00:00:00
"1993",1,£5.55,£5.55,£7.75,£3.70,£3140.00,1/1/1995 00:00:00,6/4/1996 00:00:00,5/4/2000 00:00:00,£2862.00,52,6/4/1995 00:00:00
"1994",1,£5.65,£5.65,£7.75,£3.19,£3200.00,7/1/1996 00:00:00,5/4/1997 00:00:00,5/4/2001 00:00:00,£2914.00,52,6/4/1996 00:00:00
"1995",1,£5.75,£5.75,£7.30,£2.90,£3260.00,5/1/1997 00:00:00,11/4/1998 00:00:00,5/4/2002 00:00:00,£2966.00,52,6/4/1997 00:00:00
"1996",1,£6.05,£6.05,£7.20,£3.05,£3430.00,4/1/1998 00:00:00,10/4/1999 00:00:00,5/4/2003 00:00:00,£3122.00,52,6/4/1998 00:00:00
"1997",1,£6.15,£6.15,£6.80,£3.10,£3480.00,3/1/1999 00:00:00,8/4/2000 00:00:00,5/4/2004 00:00:00,£3174.00,53,6/4/1999 00:00:00
"1998",1,£6.35,£6.35,£7.00,£3.20,£3590.00,1/1/2000 00:00:00,7/4/2001 00:00:00,5/4/2005 00:00:00,£3278.00,52,6/4/2000 00:00:00
"1999",1,£6.55,£6.55,£7.20,£3.30,£3770.00,7/1/2001 00:00:00,6/4/2002 00:00:00,5/4/2006 00:00:00,£3382.00,52,6/4/2001 00:00:00
"2000",1,£2.00,£2.00,£2.65,£3.35,£3825.00,6/1/2002 00:00:00,5/4/2003 00:00:00,5/4/2007 00:00:00,£3434.00,52,6/4/2002 00:00:00
"2001",1,£2.00,£2.00,£2.65,£3.60,£3955.00,5/1/2003 00:00:00,3/4/2004 00:00:00,5/4/2008 00:00:00,£3694.00,52,6/4/2003 00:00:00
"2002",1,£2.00,£2.00,£2.65,£3.75,£4025.00,4/1/2004 00:00:00,2/4/2005 00:00:00,5/4/2009 00:00:00,£3850.00,52,6/4/2004 00:00:00
"2003",1,£2.00,£2.00,£2.65,£3.85,£4095.00,2/1/2005 00:00:00,1/4/2006 00:00:00,5/4/2010 00:00:00,£3954.00,53,6/4/2005 00:00:00
"2004",1,£2.05,£2.05,£2.70,£3.95,£4215.00,1/1/2006 00:00:00,7/4/2007 00:00:00,5/4/2011 00:00:00,£4058.00,52,6/4/2006 00:00:00
"2005",1,£2.10,£2.10,£2.75,£4.10,£4345.00,7/1/2007 00:00:00,5/4/2008 00:00:00,5/4/2012 00:00:00,£4214.00,52,6/4/2007 00:00:00
"2006",1,£2.10,£2.10,£2.75,£4.20,£4465.00,6/1/2008 00:00:00,4/4/2009 00:00:00,5/4/2013 00:00:00,£4318.00,52,6/4/2008 00:00:00
"2007",1,£2.20,£2.20,£2.85,£4.35,£4635.00,4/1/2009 00:00:00,3/4/2010 00:00:00,5/4/2014 00:00:00,£4474.00,52,6/4/2009 00:00:00
"2008",1,£2.30,£2.30,£2.95,£4.50,£4825.00,3/1/2010 00:00:00,2/4/2011 00:00:00,5/4/2015 00:00:00,£4630.00,53,6/4/2010 00:00:00
"2009",1,£2.40,£2.40,£3.05,£4.75,£5075.00,2/1/2011 00:00:00,7/4/2012 00:00:00,5/4/2016 00:00:00,£4890.00,52,6/4/2011 00:00:00
