"Tax Yr","Start Wk","Wk Rte","Dte HRP Apply","Fnl Dte For Pen","EF Qual Year","LEL","No Of Weeks"
"1975",1,£1.90,,5/4/1978 00:00:00,£536.00,£11.00,50
"1976",1,£2.10,,5/4/1979 00:00:00,£636.00,£13.00,50
"1977",1,£2.45,,5/4/1980 00:00:00,£736.00,£15.00,50
"1978",1,£1.80,,5/4/1981 00:00:00,£896.00,£17.50,52
"1979",1,£2.00,,5/4/1982 00:00:00,£1000.00,£19.50,52
"1980",1,£2.40,,5/4/1983 00:00:00,£1182.00,£23.00,52
"1981",1,£3.30,,5/4/1984 00:00:00,£1390.00,£27.00,52
"1982",1,£3.65,,5/4/1989 00:00:00,£1519.25,£29.50,52
"1983",1,£4.30,6/4/1986 00:00:00,5/4/1990 00:00:00,£1673.75,£32.50,52
"1984",1,£4.50,6/4/1987 00:00:00,5/4/1991 00:00:00,£1751.00,£34.00,52
"1985",1,£4.65,6/4/1988 00:00:00,5/4/1992 00:00:00,£1828.25,£35.50,26
"1985",27,£3.40,6/4/1988 00:00:00,5/4/1992 00:00:00,£1828.25,£35.50,26
"1986",1,£3.65,6/4/1989 00:00:00,5/4/1993 00:00:00,£1957.00,£38.00,52
"1987",1,£3.75,6/4/1990 00:00:00,5/4/1994 00:00:00,£1978.00,£39.00,52
"1988",1,£3.95,6/4/1991 00:00:00,5/4/1995 00:00:00,£2082.00,£41.00,52
"1989",1,£4.15,6/4/1992 00:00:00,5/4/1996 00:00:00,£2186.00,£43.00,52
"1990",1,£4.45,6/4/1993 00:00:00,5/4/1997 00:00:00,£2342.00,£46.00,52
"1991",1,£5.05,6/4/1994 00:00:00,5/4/1998 00:00:00,£2654.00,£52.00,52
"1992",1,£5.25,6/4/1995 00:00:00,5/4/1999 00:00:00,£2758.00,£54.00,52
"1993",1,£5.45,6/4/1996 00:00:00,5/4/2000 00:00:00,£2862.00,£56.00,52
"1994",1,£5.55,6/4/1997 00:00:00,5/4/2001 00:00:00,£2914.00,£57.00,52
"1995",1,£5.65,6/4/1998 00:00:00,5/4/2002 00:00:00,£2966.00,£58.00,52
"1996",1,£5.95,6/4/1999 00:00:00,5/4/2003 00:00:00,£3122.00,£61.00,52
"1997",1,£6.05,6/4/2000 00:00:00,5/4/2004 00:00:00,£3174.00,£62.00,52
"1998",1,£6.25,6/4/2001 00:00:00,5/4/2005 00:00:00,£3278.00,£64.00,52
"1999",1,£6.45,6/4/2002 00:00:00,5/4/2006 00:00:00,£3382.00,£66.00,52
"2000",1,£6.55,6/4/2003 00:00:00,5/4/2007 00:00:00,£3434.00,£67.00,52
"2001",1,£6.75,6/4/2004 00:00:00,5/4/2008 00:00:00,£3694.00,£72.00,52
"2002",1,£6.85,6/4/2005 00:00:00,5/4/2009 00:00:00,£3850.00,£75.00,52
"2003",1,£6.95,6/4/2006 00:00:00,5/4/2010 00:00:00,£3954.00,£77.00,52
"2004",1,£7.15,6/4/2007 00:00:00,5/4/2011 00:00:00,£4058.00,£79.00,52
"2005",1,£7.35,6/4/2008 00:00:00,5/4/2012 00:00:00,£4214.00,£82.00,52
"2006",1,£7.55,6/4/2009 00:00:00,5/4/2013 00:00:00,£4318.00,£84.00,52
"2007",1,£7.80,6/4/2010 00:00:00,5/4/2014 00:00:00,£4474.00,£87.00,52
"2008",1,£8.10,6/4/2011 00:00:00,5/4/2015 00:00:00,£4630.00,£90.00,52
"2009",1,£12.05,6/4/2012 00:00:00,5/4/2016 00:00:00,£4890.00,£95.00,52
"2010",1,£12.05,6/4/2013 00:00:00,5/4/2017 00:00:00,£4994.00,£97.00,52
"2011",1,£12.60,6/4/2014 00:00:00,5/4/2018 00:00:00,£5254.00,£102.00,52
"2012",1,£13.25,6/4/2015 00:00:00,5/4/2019 00:00:00,£5514.00,£107.00,52
"2013",1,£13.55,6/4/2016 00:00:00,5/4/2020 00:00:00,£5618.00,£109.00,52
"2014",1,£13.90,6/4/2017 00:00:00,5/4/2021 00:00:00,£5722.00,£111.00,53
"2015",1,£14.10,6/4/2018 00:00:00,5/4/2022 00:00:00,£5774.00,£112.00,52
"2016",1,£14.10,6/4/2019 00:00:00,5/4/2023 00:00:00,£5774.00,£112.00,52
"2017",1,£14.25,6/4/2020 00:00:00,5/4/2024 00:00:00,£5826.00,£113.00,52
"2018",1,£14.65,6/4/2021 00:00:00,5/4/2025 00:00:00,£5982.00,£116.00,52
"2019",1,£15.00,6/4/2022 00:00:00,5/4/2026 00:00:00,£6086.00,£118.00,53
"2020",1,£15.30,6/4/2023 00:00:00,5/4/2027 00:00:00,£6240.00,£120.00,52
