"Tax Yr","PRCNT Rate","ANN LEL","ANN UEL","RateAboveUEL"
"1975",0.08,1600.00,3600.00,
"1976",0.08,1600.00,4900.00,
"1977",0.08,1750.00,5500.00,
"1978",0.05,2000.00,6250.00,
"1979",0.05,2250.00,7000.00,
"1980",0.05,2660.00,8300.00,
"1981",0.05,3150.00,10000.00,
"1982",0.06,3450.00,11000.00,
"1983",0.06,3800.00,12000.00,
"1984",0.06,3950.00,13000.00,
"1985",0.06,4150.00,13780.00,
"1986",0.06,4450.00,14820.00,
"1987",0.06,4590.00,15340.00,
"1988",0.06,4750.00,15860.00,
"1989",0.06,5050.00,16900.00,
"1990",0.06,5450.00,18200.00,
"1991",0.06,5900.00,20280.00,
"1992",0.06,6120.00,21060.00,
"1993",0.06,6340.00,21840.00,
"1994",0.07,6490.00,22360.00,
"1995",0.07,6640.00,22880.00,
"1996",0.06,6860.00,23660.00,
"1997",0.06,7010.00,24180.00,
"1998",0.06,7310.00,25220.00,
"1999",0.06,7530.00,26000.00,
"2000",0.07,4385.00,27820.00,
"2001",0.07,4535.00,29900.00,
"2002",0.07,4615.00,30420.00,
"2003",0.08,4615.00,30940.00,0.01
"2004",0.08,4745.00,31720.00,0.01
"2005",0.08,4895.00,32760.00,0.01
"2006",0.08,5035.00,33540.00,0.01
"2007",0.08,5225.00,34840.00,0.01
"2008",0.08,5435.00,40040.00,0.01
"2009",0.08,5715.00,43875.00,0.01
"2010",0.08,5715.00,43875.00,0.01
"2011",0.09,7225.00,42475.00,0.02
"2012",0.09,7605.00,42475.00,0.02
"2013",0.09,7755.00,41450.00,0.02
"2014",0.09,7956.00,41865.00,0.02
"2015",0.09,8060.00,42385.00,0.02
"2016",0.09,8060.00,43000.00,0.02
"2017",0.09,8164.00,45000.00,0.02
"2018",0.09,8424.00,46350.00,0.02
"2019",0.09,8632.00,50000.00,0.02
"2020",0.09,9500.00,50000.00,0.02
