"Interest Start Date","Interest rate",Reserved
1993/04/19,0.0625,TRUE
1994/01/06,0.055,TRUE
1994/10/06,0.0625,TRUE
1995/03/06,0.07,TRUE
1996/02/06,0.0625,TRUE
1997/01/31,0.04,TRUE
1997/08/06,0.0475,TRUE
1999/01/06,0.04,TRUE
1999/03/06,0.03,TRUE
2000/02/06,0.04,TRUE
2001/05/06,0.03,TRUE
2001/11/06,0.0225,TRUE
2003/08/06,0.015,TRUE
2003/12/06,0.0225,TRUE
2004/09/06,0.03,TRUE
2005/09/06,0.0225,TRUE
2006/09/06,0.03,TRUE
2007/08/06,0.04,TRUE
2008/01/06,0.03,TRUE
2008/11/06,0.0225,TRUE
2008/12/06,0.015,TRUE
2009/01/06,0.0075,TRUE
2009/01/27,0,TRUE
2009/09/29,0.005,TRUE
