"Tax Yr",WkLEL,WkEE_ET,WkER_ET,WkPT,WkST,WkUAP,WkUST,WkAUST,WkUEL,MnthLEL,MnthEE_ET,MnthER_ET,MnthUAP,MnthUST,MnthAUST,MnthUEL,MnthPT,MnthST,AnnLEL,AnnEE_ET,AnnER_ET,AnnUAP,AnnUST,AnnAUST,AnnUEL,AnnPT,AnnST
1999,66,66,83,0,0,0,0,,500,286,286,361,0,0,,2167,0,0,3432,3432,4335,0,0,,26000,0,0
2000,67,76,84,0,0,0,0,,535,291,329,365,0,0,,2319,0,0,3484,3952,4385,0,0,,27820,0,0
2001,72,87,87,0,0,0,0,,575,312,378,378,0,0,,2492,0,0,3744,4535,4535,0,0,,29900,0,0
2002,75,89,89,0,0,0,0,,585,325,385,385,0,0,,2535,0,0,3900,4615,4615,0,0,,30420,0,0
2003,77,89,89,0,0,0,0,,595,334,385,385,0,0,,2579,0,0,4004,4615,4615,0,0,,30940,0,0
2004,79,91,91,0,0,0,0,,610,343,395,395,0,0,,2644,0,0,4108,4745,4745,0,0,,31720,0,0
2005,82,94,94,0,0,0,0,,630,356,408,408,0,0,,2730,0,0,4264,4895,4895,0,0,,32760,0,0
2006,84,97,97,0,0,0,0,,645,364,420,420,0,0,,2795,0,0,4368,5035,5035,0,0,,33540,0,0
2007,87,100,100,0,0,0,0,,670,377,435,435,0,0,,2904,0,0,4524,5225,5225,0,0,,34840,0,0
2008,90,105,105,0,0,0,0,,770,390,453,453,0,0,,3337,0,0,4680,5435,5435,0,0,,40040,0,0
2009,95,110,110,0,0,770,0,,844,412,476,476,3337,0,,3656,0,0,4940,5715,5715,40040,0,,43875,0,0
2010,97,110,110,0,0,770,0,,844,421,476,476,3337,0,,3656,0,0,5044,5715,5715,40040,0,,43875,0,0
2011,102,0,0,139,136,770,0,,817,442,0,0,3337,0,,3540,602,589,5304,0,0,40040,0,,42475,7225,7072
2012,107,0,0,146,144,770,0,,817,464,0,0,3337,0,,3540,634,624,5564,0,0,40040,0,,42475,7605,7488
2013,109,0,0,149,148,770,0,,797,473,0,0,3337,0,,3454,646,641,5668,0,0,40040,0,,41450,7755,7696
2014,111,0,0,153,153,770,0,,805,481,0,0,3337,0,,3489,663,663,5772,0,0,40040,0,,41865,7956,7956
2015,112,0,0,155,156,770,815,,815,486,0,0,3337,3532,,3532,672,676,5824,0,0,40040,42385,,42385,8060,8112
2016,112,0,0,155,156,0,827,827,827,486,0,0,0,3583,3583,3583,672,676,5824,0,0,0,43000,43000,43000,8060,8112
2017,113,0,0,157,157,0,866,866,866,490,0,0,0,3750,3750,3750,680,680,5876,0,0,0,45000,45000,45000,8164,8164
2018,116,0,0,162,162,0,892,892,892,503,0,0,0,3863,3863,3863,702,702,6032,0,0,0,46350,46350,46350,8424,8424
2019,118,0,0,166,166,0,962,962,962,512,0,0,0,4167,4167,4167,719,719,6136,0,0,0,50000,50000,50000,8632,8632
2020,120,0,0,183,169,0,962,962,962,520,0,0,0,4167,3847,4167,792,732,6420,0,0,0,50000,50000,50000,9500,8788
