"Tax Yr","WkLEL","WkEE_ET","WkER_ET","WkPT","WkST","WkUAP","WkUST","WkAUST","WkUEL","MnthLEL","MnthEE_ET","MnthER_ET","MnthUAP","MnthUST","MnthAUST","MnthUEL","MnthPT","MnthST","AnnLEL","AnnEE_ET","AnnER_ET","AnnUAP","AnnUST","AnnAUST","AnnUEL","AnnPT","AnnST"
"1999",£66.00,£66.00,£83.00,£0.00,£0.00,£0.00,£0.00,,£500.00,£286.00,£286.00,£361.00,£0.00,£0.00,,£2167.00,£0.00,£0.00,£3432.00,£3432.00,£4335.00,£0.00,£0.00,,£26000.00,£0.00,£0.00
"2000",£67.00,£76.00,£84.00,£0.00,£0.00,£0.00,£0.00,,£535.00,£291.00,£329.00,£365.00,£0.00,£0.00,,£2319.00,£0.00,£0.00,£3484.00,£3952.00,£4385.00,£0.00,£0.00,,£27820.00,£0.00,£0.00
"2001",£72.00,£87.00,£87.00,£0.00,£0.00,£0.00,£0.00,,£575.00,£312.00,£378.00,£378.00,£0.00,£0.00,,£2492.00,£0.00,£0.00,£3744.00,£4535.00,£4535.00,£0.00,£0.00,,£29900.00,£0.00,£0.00
"2002",£75.00,£89.00,£89.00,£0.00,£0.00,£0.00,£0.00,,£585.00,£325.00,£385.00,£385.00,£0.00,£0.00,,£2535.00,£0.00,£0.00,£3900.00,£4615.00,£4615.00,£0.00,£0.00,,£30420.00,£0.00,£0.00
"2003",£77.00,£89.00,£89.00,£0.00,£0.00,£0.00,£0.00,,£595.00,£334.00,£385.00,£385.00,£0.00,£0.00,,£2579.00,£0.00,£0.00,£4004.00,£4615.00,£4615.00,£0.00,£0.00,,£30940.00,£0.00,£0.00
"2004",£79.00,£91.00,£91.00,£0.00,£0.00,£0.00,£0.00,,£610.00,£343.00,£395.00,£395.00,£0.00,£0.00,,£2644.00,£0.00,£0.00,£4108.00,£4745.00,£4745.00,£0.00,£0.00,,£31720.00,£0.00,£0.00
"2005",£82.00,£94.00,£94.00,£0.00,£0.00,£0.00,£0.00,,£630.00,£356.00,£408.00,£408.00,£0.00,£0.00,,£2730.00,£0.00,£0.00,£4264.00,£4895.00,£4895.00,£0.00,£0.00,,£32760.00,£0.00,£0.00
"2006",£84.00,£97.00,£97.00,£0.00,£0.00,£0.00,£0.00,,£645.00,£364.00,£420.00,£420.00,£0.00,£0.00,,£2795.00,£0.00,£0.00,£4368.00,£5035.00,£5035.00,£0.00,£0.00,,£33540.00,£0.00,£0.00
"2007",£87.00,£100.00,£100.00,£0.00,£0.00,£0.00,£0.00,,£670.00,£377.00,£435.00,£435.00,£0.00,£0.00,,£2904.00,£0.00,£0.00,£4524.00,£5225.00,£5225.00,£0.00,£0.00,,£34840.00,£0.00,£0.00
"2008",£90.00,£105.00,£105.00,£0.00,£0.00,£0.00,£0.00,,£770.00,£390.00,£453.00,£453.00,£0.00,£0.00,,£3337.00,£0.00,£0.00,£4680.00,£5435.00,£5435.00,£0.00,£0.00,,£40040.00,£0.00,£0.00
"2009",£95.00,£110.00,£110.00,£0.00,£0.00,£770.00,£0.00,,£844.00,£412.00,£476.00,£476.00,£3337.00,£0.00,,£3656.00,£0.00,£0.00,£4940.00,£5715.00,£5715.00,£40040.00,£0.00,,£43875.00,£0.00,£0.00
"2010",£97.00,£110.00,£110.00,£0.00,£0.00,£770.00,£0.00,,£844.00,£421.00,£476.00,£476.00,£3337.00,£0.00,,£3656.00,£0.00,£0.00,£5044.00,£5715.00,£5715.00,£40040.00,£0.00,,£43875.00,£0.00,£0.00
"2011",£102.00,£0.00,£0.00,£139.00,£136.00,£770.00,£0.00,,£817.00,£442.00,£0.00,£0.00,£3337.00,£0.00,,£3540.00,£602.00,£589.00,£5304.00,£0.00,£0.00,£40040.00,£0.00,,£42475.00,£7225.00,£7072.00
"2012",£107.00,£0.00,£0.00,£146.00,£144.00,£770.00,£0.00,,£817.00,£464.00,£0.00,£0.00,£3337.00,£0.00,,£3540.00,£634.00,£624.00,£5564.00,£0.00,£0.00,£40040.00,£0.00,,£42475.00,£7605.00,£7488.00
"2013",£109.00,£0.00,£0.00,£149.00,£148.00,£770.00,£0.00,,£797.00,£473.00,£0.00,£0.00,£3337.00,£0.00,,£3454.00,£646.00,£641.00,£5668.00,£0.00,£0.00,£40040.00,£0.00,,£41450.00,£7755.00,£7696.00
"2014",£111.00,£0.00,£0.00,£153.00,£153.00,£770.00,£0.00,,£805.00,£481.00,£0.00,£0.00,£3337.00,£0.00,,£3489.00,£663.00,£663.00,£5772.00,£0.00,£0.00,£40040.00,£0.00,,£41865.00,£7956.00,£7956.00
