"Tax Yr","Cat","EE_Rate","EE_AboveUEL","EE_AboveUAP","ER_Rate","ER_AboveUAP","ER_AboveUST","ER_AboveAUST","ER_AboveUEL","ER NIC Rebate","EE NIC Rebate","ER_RebateToST"
"1999","A",0.10,,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"1999","B",0.03,,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"1999","C",0.00,,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"1999","C(c/o)",0.00,,0.00,0.09,0.00,0.00,,0.12,0.03,0.00,0.00
"1999","D",0.08,,0.00,0.09,0.00,0.00,,0.12,0.03,0.00,0.00
"1999","E",0.03,,0.00,0.09,0.00,0.00,,0.12,0.03,0.00,0.00
"1999","F",0.08,,0.00,0.11,0.00,0.00,,0.12,6.0e-03,0.00,0.00
"1999","G",0.03,,0.00,0.11,0.00,0.00,,0.12,6.0e-03,0.00,0.00
"1999","H",0.08,,0.00,0.11,0.00,0.00,,0.11,6.0e-03,0.00,0.00
"1999","K",0.03,,0.00,0.11,0.00,0.00,,0.11,6.0e-03,0.00,0.00
"1999","N",0.08,,0.00,0.08,0.00,0.00,,0.11,0.03,0.00,0.00
"1999","O",0.03,,0.00,0.08,0.00,0.00,,0.11,0.03,0.00,0.00
"1999","R",0.10,,0.00,0.11,0.00,0.00,,0.11,0.00,0.00,0.00
"1999","S",0.00,,0.00,0.11,0.00,0.00,,0.12,6.0e-03,0.00,0.00
"1999","T",0.03,,0.00,0.11,0.00,0.00,,0.11,0.00,0.00,0.00
"1999","V",0.00,,0.00,0.11,0.00,0.00,,0.11,6.0e-03,0.00,0.00
"1999","W",0.00,,0.00,0.11,0.00,0.00,,0.11,0.00,0.00,0.00
"2000","A",0.10,,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2000","B",0.03,,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2000","C",0.00,,0.00,0.12,0.00,0.00,,0.12,0.00,0.00,0.00
"2000","C(c/o)",0.00,,0.00,0.09,0.00,0.00,,0.12,0.03,0.00,0.00
"2000","D",0.08,,0.00,0.09,0.00,0.00,,0.12,0.03,0.01,0.00
"2000","E",0.03,,0.00,0.09,0.00,0.00,,0.12,0.03,0.00,0.00
"2000","F",0.08,,0.00,0.11,0.00,0.00,,0.12,6.0e-03,0.01,0.00
"2000","G",0.03,,0.00,0.11,0.00,0.00,,0.12,6.0e-03,0.00,0.00
"2000","H",0.08,,0.00,0.11,0.00,0.00,,0.11,6.0e-03,0.01,0.00
"2000","K",0.03,,0.00,0.11,0.00,0.00,,0.11,6.0e-03,0.00,0.00
"2000","N",0.08,,0.00,0.08,0.00,0.00,,0.11,0.03,0.01,0.00
"2000","O",0.03,,0.00,0.08,0.00,0.00,,0.11,0.03,0.00,0.00
"2000","R",0.10,,0.00,0.11,0.00,0.00,,0.11,0.00,0.00,0.00
"2000","S",0.00,,0.00,0.11,0.00,0.00,,0.12,6.0e-03,0.00,0.00
